thread_id,doc_id,fecha,familia
H0001,616,2022-06-22,3
H0001,22319,2022-06-22,3
H0001,3233,2022-06-22,3
H0001,3257,2022-06-22,3
H0001,22339,2022-06-23,3
H0001,6739,2022-06-23,3
H0001,607,2022-06-24,3
H0001,3219,2022-06-25,3
H0001,6719,2022-06-25,3
H0001,22353,2022-06-26,3
H0001,22359,2022-06-26,3
H0001,3227,2022-06-27,3
H0001,2957,2022-06-28,3
H0001,565,2022-06-30,1
H0001,3277,2022-06-30,3
H0001,3230,2022-07-03,3
H0001,3223,2022-07-05,3
H0001,3272,2022-07-05,3
H0001,6723,2022-07-16,3
H0001,22266,2022-08-01,3
H0001,7232,2022-08-04,3
H0001,3259,2022-08-09,3
H0001,7234,2022-08-09,3
H0001,3282,2022-08-10,3
H0001,3242,2022-10-18,3
H0001,7233,2022-11-30,3
H0001,3243,2022-12-01,3
H0001,6725,2022-12-12,3
H0001,592,2022-12-29,3
H0001,3234,2023-03-06,3
H0001,3283,2023-03-07,3
H0001,3273,2023-03-08,3
H0001,3216,2023-03-15,3
H0001,3195,2023-04-13,3
H0001,3225,2023-04-20,3
H0001,3236,2023-04-20,3
H0001,7237,2023-04-20,3
H0001,3260,2023-05-18,3
H0001,3247,2023-05-21,3
H0001,3244,2023-05-30,3
H0001,597,2023-05-31,3
H0001,3199,2023-05-31,3
H0001,3203,2023-05-31,3
H0001,3210,2023-05-31,3
H0001,3221,2023-05-31,3
H0001,3253,2023-05-31,3
H0001,3265,2023-05-31,3
H0001,3278,2023-05-31,3
H0001,6724,2023-05-31,3
H0001,6746,2023-05-31,3
H0001,7231,2023-05-31,3
H0001,7235,2023-05-31,3
H0001,2932,2023-06-01,3
H0001,3284,2023-06-01,3
H0001,2976,2023-06-02,3
H0001,3246,2023-06-03,3
H0001,2906,2023-06-10,1
H0001,588,2023-06-22,3
H0001,7229,2023-07-17,3
H0001,6735,2023-09-25,3
H0001,3218,2023-09-29,3
H0001,3241,2023-10-03,3
H0001,3268,2023-10-03,3
H0001,3229,2023-11-04,3
H0001,3211,2024-05-09,3
H0001,3212,2024-05-09,3
H0001,3240,2024-05-31,3
H0001,3239,2024-07-25,3
H0001,3262,2024-07-25,3
H0001,3465,2024-07-28,3
H0001,3435,2024-08-01,3
H0001,7236,2024-09-02,3
H0001,3193,2025-09-24,3
H0002,1205,2023-04-20,-1
H0002,41,2023-05-04,13
H0002,970,2023-05-04,25
H0002,2210,2023-05-04,25
H0002,978,2023-05-05,13
H0002,1928,2023-05-05,13
H0002,1930,2023-05-05,13
H0002,983,2023-05-08,25
H0002,2211,2023-05-10,25
H0002,2206,2023-05-11,13
H0002,1088,2023-05-20,11
H0002,1242,2023-06-12,13
H0002,1551,2023-06-15,13
H0002,6416,2023-06-29,13
H0002,1244,2023-06-30,-1
H0002,1933,2023-06-30,13
H0002,1954,2023-06-30,13
H0002,1972,2023-06-30,13
H0002,301,2023-07-03,25
H0002,1277,2023-10-26,13
H0002,1275,2023-11-10,11
H0002,1225,2024-01-16,13
H0002,2209,2024-04-11,13
H0002,1281,2024-05-09,5
H0002,1568,2024-05-28,13
H0002,1284,2024-05-30,5
H0002,5763,2024-06-14,2
H0002,1550,2024-06-25,13
H0002,1339,2024-07-25,13
H0002,39,2024-10-31,13
H0002,1218,2024-12-30,-1
H0002,18021,2025-01-03,-1
H0002,1576,2025-01-09,13
H0002,1211,2025-01-14,11
H0002,1279,2025-01-28,5
H0002,1173,2025-03-25,11
H0002,1895,2025-06-30,5
H0002,1691,2025-07-16,13
H0002,1535,2025-07-17,13
H0002,73,2025-07-25,11
H0002,305,2025-07-31,13
