thread_id,doc_id
E0000,19491
E0000,19494
E0000,19502
E0000,19503
E0000,19507
E0000,19510
E0000,19511
E0000,19512
E0000,19515
E0000,19517
E0000,19547
E0000,19548
E0000,19552
E0000,19565
E0000,19576
E0000,19616
E0000,19672
E0000,19883
E0000,19884
E0000,19888
E0000,19893
E0000,19895
E0000,19902
E0000,19914
E0000,19915
E0000,19919
E0000,19924
E0000,19933
E0000,19954
E0000,19968
E0000,20043
E0000,20076
E0000,20092
E0000,20093
E0000,20165
E0000,20171
E0000,20206
E0000,20213
E0000,20219
E0000,20236
E0000,20239
E0000,20282
E0000,20366
E0000,20373
E0000,20383
E0000,20413
E0000,20433
E0000,20436
E0000,20469
E0000,20493
E0000,20500
E0000,20508
E0000,20608
E0000,20613
E0000,20615
E0000,20626
E0000,20679
E0000,20783
E0000,20826
E0000,20829
E0000,20835
E0000,20924
E0000,21027
E0000,21280
E0000,21285
E0000,21440
E0000,21484
E0000,21544
E0000,21572
E0000,21688
E0000,21718
E0000,21926
E0000,22171
E0000,22178
E0000,22179
E0000,22180
E0000,22182
E0000,22183
E0000,22185
E0000,22187
E0000,22188
E0000,22189
E0000,22190
E0000,22191
E0000,22194
E0000,22199
E0000,22210
E0000,22214
E0000,22216
E0000,22217
E0000,22219
E0000,22221
E0000,22223
E0000,22224
E0000,22225
E0000,22226
E0000,22227
E0000,22230
E0000,22231
E0000,22232
E0000,22234
E0000,22235
E0000,22237
E0000,22240
E0000,22242
E0000,22244
E0000,22246
E0000,22247
E0000,22260
E0000,22266
E0000,22272
E0000,22274
E0000,22281
E0000,22309
E0000,22311
E0000,22315
E0000,22317
E0000,22318
E0000,22319
E0000,22320
E0000,22321
E0000,22328
E0000,22334
E0000,22337
E0000,22339
E0000,22341
E0000,22343
E0000,22344
E0000,22346
E0000,22348
E0000,22353
E0000,22356
E0000,22359
E0000,22360
E0000,22364
E0000,22369
E0000,22370
E0000,22403
E0000,22437
E0000,22474
E0000,22495
E0000,22503
E0000,22508
E0000,22916
E0000,23108
E0000,23109
E0000,23110
E0000,23113
E0000,23148
E0000,23152
E0000,23153
E0000,23160
E0000,23163
E0000,23164
E0000,23165
E0000,23170
E0000,23173
E0000,23181
E0000,23182
E0000,23183
E0000,23479
E0000,23487
E0000,23488
E0000,23540
E0000,23774
E0000,23798
E0000,23977
E0000,161
E0000,172
E0000,177
E0000,293
E0000,294
E0000,382
E0000,391
E0000,401
E0000,404
E0000,455
E0000,524
E0000,553
E0000,559
E0000,560
E0000,564
E0000,566
E0000,567
E0000,568
E0000,570
E0000,571
E0000,572
E0000,573
E0000,575
E0000,577
E0000,754
E0000,832
E0000,849
E0000,850
E0000,857
E0000,858
E0000,859
E0000,861
E0000,864
E0000,865
E0000,866
E0000,869
E0000,872
E0000,873
E0000,876
E0000,877
E0000,880
E0000,881
E0000,883
E0000,887
E0000,899
E0000,904
E0000,906
E0000,908
E0000,910
E0000,914
E0000,921
E0000,970
E0000,971
E0000,978
E0000,981
E0000,983
E0000,985
E0000,1004
E0000,1005
E0000,1032
E0000,1048
E0000,1053
E0000,1054
E0000,1055
E0000,1058
E0000,1060
E0000,1064
E0000,1065
E0000,1072
E0000,1078
E0000,1079
E0000,1080
E0000,1086
E0000,1088
E0000,1093
E0000,1098
E0000,1105
E0000,1106
E0000,1108
E0000,1122
E0000,1130
E0000,1134
E0000,1135
E0000,1139
E0000,1141
E0000,1142
E0000,1143
E0000,1147
E0000,1148
E0000,1149
E0000,1151
E0000,1152
E0000,1153
E0000,1155
E0000,1157
E0000,1158
E0000,1159
E0000,1160
E0000,1161
E0000,1162
E0000,1164
E0000,1165
E0000,1166
E0000,1167
E0000,1168
E0000,1169
E0000,1172
E0000,1173
E0000,1174
E0000,1175
E0000,1176
E0000,1177
E0000,1178
E0000,1179
E0000,1186
E0000,1203
E0000,1205
E0000,1206
E0000,1207
E0000,1211
E0000,1218
E0000,1220
E0000,1224
E0000,1225
E0000,1228
E0000,1229
E0000,1230
E0000,1231
E0000,1232
E0000,1233
E0000,1237
E0000,1238
E0000,1239
E0000,1242
E0000,1244
E0000,1246
E0000,1247
E0000,1250
E0000,1253
E0000,1259
E0000,1260
E0000,1263
E0000,1265
E0000,1266
E0000,1267
E0000,1268
E0000,1270
E0000,1272
E0000,1273
E0000,1274
E0000,1275
E0000,1276
E0000,1277
E0000,1279
E0000,1280
E0000,1281
E0000,1282
E0000,1284
E0000,1286
E0000,1298
E0000,1309
E0000,1331
E0000,1339
E0000,1346
E0000,1378
E0000,1381
E0000,1383
E0000,1385
E0000,1386
E0000,1407
E0000,1437
E0000,1451
E0000,1460
E0000,1461
E0000,1462
E0000,1463
E0000,1465
E0000,1468
E0000,1469
E0000,1470
E0000,1471
E0000,1473
E0000,1477
E0000,1478
E0000,1479
E0000,1480
E0000,1481
E0000,1482
E0000,1483
E0000,1485
E0000,1486
E0000,1487
E0000,1488
E0000,1490
E0000,1491
E0000,1492
E0000,1494
E0000,1496
E0000,1498
E0000,1499
E0000,1500
E0000,1503
E0000,1506
E0000,1508
E0000,1509
E0000,1510
E0000,1513
E0000,1515
E0000,1516
E0000,1517
E0000,1521
E0000,1522
E0000,1523
E0000,1525
E0000,1527
E0000,1528
E0000,1529
E0000,1530
E0000,1534
E0000,1535
E0000,1536
E0000,1548
E0000,1550
E0000,1551
E0000,1552
E0000,1555
E0000,1558
E0000,1561
E0000,1562
E0000,1564
E0000,1566
E0000,1567
E0000,1568
E0000,1569
E0000,1571
E0000,1573
E0000,1574
E0000,1575
E0000,1576
E0000,1579
E0000,1580
E0000,1584
E0000,1585
E0000,1589
E0000,1593
E0000,1595
E0000,1596
E0000,1598
E0000,1599
E0000,1600
E0000,1608
E0000,1609
E0000,1616
E0000,1618
E0000,1621
E0000,1641
E0000,1650
E0000,1653
E0000,1654
E0000,1656
E0000,1657
E0000,1660
E0000,1661
E0000,1667
E0000,1669
E0000,1671
E0000,1673
E0000,1678
E0000,1681
E0000,1690
E0000,1691
E0000,1698
E0000,1704
E0000,1708
E0000,1711
E0000,1724
E0000,1725
E0000,1726
E0000,1728
E0000,1732
E0000,1736
E0000,1744
E0000,1747
E0000,1748
E0000,1749
E0000,1751
E0000,1755
