thread_id,doc_id,fecha,familia
H0000,1653,2025-12-19,5
H0000,1704,2025-12-19,5
H0000,1843,2025-12-19,5
H0000,1846,2025-12-19,5
H0000,1881,2025-12-19,5
H0000,1887,2025-12-19,5
H0000,1889,2025-12-19,5
H0000,1900,2025-12-19,5
H0000,1905,2025-12-19,5
H0000,1874,2025-12-20,5
H0000,1868,2025-12-23,5
H0000,1902,2025-12-23,5
H0000,1870,2025-12-25,5
H0000,1660,2025-12-27,5
H0000,1698,2025-12-27,5
H0000,1657,2025-12-29,5
H0000,1667,2025-12-29,5
H0000,1708,2025-12-29,5
H0000,1650,2025-12-30,5
H0000,1867,2025-12-30,5
H0000,1840,2026-01-13,5
H0000,1861,2026-01-27,5
H0000,1852,2026-01-28,5
H0000,1153,2026-01-30,-1
H0000,1909,2026-01-30,-1
H0000,1910,2026-01-30,-1
H0000,1911,2026-01-30,13
H0000,1912,2026-01-30,13
H0000,1913,2026-01-30,13
H0000,1915,2026-01-30,-1
H0000,1988,2026-01-30,-1
H0000,1229,2026-02-03,13
H0000,2041,2026-02-12,-1
H0001,16808,2016-12-05,7
H0001,1672,2017-03-09,5
H0001,1697,2017-07-20,7
H0001,16801,2017-08-07,7
H0001,15169,2017-08-21,5
H0001,1737,2017-08-22,22
H0001,1700,2017-08-25,5
H0001,1612,2017-09-01,25
H0001,15172,2017-10-13,27
H0001,1740,2017-10-18,14
H0001,1649,2017-12-01,5
H0001,1675,2017-12-02,5
H0001,1696,2018-01-22,7
H0001,15158,2018-01-22,5
H0001,15151,2018-03-14,5
H0001,1717,2018-04-03,27
H0001,1738,2018-04-03,7
H0001,1715,2018-06-12,5
H0001,1730,2018-08-02,7
H0001,1716,2018-08-16,25
H0001,1620,2019-02-18,25
H0001,16807,2019-03-04,3
H0001,1605,2019-03-07,27
H0001,1695,2019-03-14,5
H0001,15156,2019-10-09,7
H0001,1625,2020-03-04,27
H0001,1699,2020-05-30,5
H0001,1638,2021-04-21,7
H0001,1734,2021-04-28,22
H0001,1615,2021-08-11,-1
H0001,1628,2021-08-11,-1
H0001,1629,2021-08-11,25
H0001,1631,2021-08-11,-1
H0001,1670,2021-08-11,7
H0001,15142,2021-08-11,7
H0001,1626,2021-08-12,7
H0001,1637,2021-08-12,7
H0001,16802,2021-08-12,7
H0001,1741,2021-08-13,14
H0001,18334,2021-08-13,7
H0001,1611,2021-08-14,25
H0001,1718,2021-08-16,5
H0001,16793,2021-08-28,7
H0001,16800,2021-09-28,11
H0001,1610,2021-10-05,25
H0001,1639,2021-10-05,7
H0001,1729,2021-10-19,14
H0001,1745,2021-10-27,27
H0001,1602,2021-11-17,7
H0001,1634,2022-01-12,7
H0001,15138,2022-01-12,27
H0001,23170,2022-01-12,7
H0001,16813,2022-01-13,8
H0001,1665,2022-01-17,5
H0001,1614,2022-04-07,25
H0001,1668,2022-04-07,11
H0001,15146,2022-04-07,5
H0001,1709,2022-04-25,5
H0001,1694,2022-05-19,7
H0001,15166,2022-07-21,7
H0001,16798,2022-12-29,15
H0001,1721,2022-12-31,5
H0001,1647,2023-01-11,5
H0001,1597,2023-01-13,27
H0001,1743,2023-01-14,11
H0001,1731,2023-01-15,22
H0001,1710,2023-01-17,5
H0001,1604,2023-01-18,7
H0001,1613,2023-01-18,25
H0001,1640,2023-01-18,5
H0001,1664,2023-01-18,5
H0001,1666,2023-01-18,7
H0001,1727,2023-01-18,7
H0001,8775,2023-01-18,7
H0001,15141,2023-01-18,5
H0001,15148,2023-01-18,7
H0001,16803,2023-01-18,7
H0001,16804,2023-01-18,7
H0001,17369,2023-01-19,6
H0001,23164,2023-01-19,7
H0001,1735,2023-01-20,7
H0001,16812,2023-02-24,7
H0001,1680,2023-06-30,5
H0001,15137,2023-06-30,7
H0001,15143,2023-07-01,5
H0001,15152,2023-07-28,5
H0001,1663,2023-12-20,5
H0001,1682,2023-12-21,5
H0001,15154,2023-12-26,7
H0001,1658,2024-12-10,5
H0001,7166,2024-12-10,10
H0001,7179,2024-12-10,10
H0001,7212,2024-12-10,7
H0001,7216,2024-12-10,7
H0001,16797,2024-12-10,11
H0001,15164,2024-12-11,5
H0001,1588,2024-12-12,25
H0001,15132,2024-12-12,7
H0001,1692,2024-12-16,5
H0001,1688,2024-12-17,7
H0001,7165,2024-12-17,10
H0001,15157,2024-12-17,5
H0001,5870,2024-12-18,27
H0001,15123,2024-12-19,7
H0001,1689,2024-12-22,5
H0001,18323,2024-12-23,7
H0001,23173,2024-12-23,7
H0001,1591,2024-12-27,15
H0001,1686,2024-12-27,27
H0001,16792,2024-12-30,7
H0001,17279,2024-12-31,7
H0001,7205,2025-01-02,7
H0001,15130,2025-01-04,27
H0001,1572,2025-01-07,13
H0001,1559,2025-01-08,13
H0001,1586,2025-01-08,13
H0001,1662,2025-01-08,5
H0001,16794,2025-01-08,7
H0001,16796,2025-01-08,22
H0001,1563,2025-01-09,25
H0001,1713,2025-01-09,5
H0001,1719,2025-01-09,7
H0001,7185,2025-01-09,27
