thread_id,doc_id,fecha,familia
H0000,1792,2024-05-15,5
H0000,1794,2024-05-15,5
H0000,1808,2024-05-16,5
H0000,1568,2024-05-28,13
H0000,1284,2024-05-30,5
H0000,1250,2024-05-31,25
H0000,1515,2024-05-31,5
H0000,1925,2024-05-31,13
H0000,2800,2024-05-31,1
H0000,150,2024-06-03,13
H0000,175,2024-06-09,13
H0000,1969,2024-06-09,13
H0000,2207,2024-06-12,-1
H0000,1726,2024-06-13,14
H0000,5763,2024-06-14,2
H0000,3411,2024-06-14,1
H0000,1004,2024-06-20,5
H0000,1494,2024-06-21,14
H0000,2779,2024-06-23,2
H0000,1550,2024-06-25,13
H0000,1503,2024-06-27,14
H0000,2188,2024-07-05,25
H0000,7620,2024-07-09,-1
H0000,1806,2024-07-12,14
H0000,3959,2024-07-16,27
H0000,2796,2024-07-23,1
H0000,2006,2024-07-24,14
H0000,1339,2024-07-25,13
H0000,4578,2024-07-25,24
H0000,7161,2024-07-25,10
H0000,7082,2024-07-26,8
H0000,392,2024-07-27,25
H0000,3413,2024-07-31,3
H0000,8668,2024-08-01,10
H0000,1282,2024-08-01,5
H0000,1935,2024-08-01,13
H0000,1918,2024-08-03,13
H0000,161,2024-08-05,1
H0000,16003,2024-08-08,6
H0000,4244,2024-08-08,6
H0000,4386,2024-08-08,6
H0000,4602,2024-08-09,6
H0000,8633,2024-08-15,4
H0000,1506,2024-08-23,11
H0000,2240,2024-08-23,11
H0000,1490,2024-08-24,14
H0000,1500,2024-08-26,14
H0000,1480,2024-08-28,14
H0000,1483,2024-08-29,14
H0000,1608,2024-09-07,25
H0000,1564,2024-09-12,11
H0000,3955,2024-09-16,27
H0000,2797,2024-09-24,1
H0000,17638,2024-09-25,26
H0000,1130,2024-09-25,14
H0000,8155,2024-09-26,26
H0000,2775,2024-09-26,12
H0000,12715,2024-09-30,8
H0000,2795,2024-09-30,1
H0000,17231,2024-10-02,6
H0000,3963,2024-10-02,6
H0000,3414,2024-10-04,23
H0000,17277,2024-10-10,12
H0000,2488,2024-10-12,1
H0000,3948,2024-10-16,6
H0000,2105,2024-10-24,-1
H0000,1927,2024-10-25,14
H0000,39,2024-10-31,13
H0000,5110,2024-11-08,1
H0000,5491,2024-11-12,2
H0000,2184,2024-11-18,10
H0000,15341,2024-11-18,10
H0000,1134,2024-11-20,14
H0000,7619,2024-11-22,-1
H0000,8533,2024-11-26,18
H0000,1789,2024-11-26,14
H0000,1916,2024-11-30,13
H0000,1220,2024-12-02,25
H0000,1580,2024-12-04,13
H0000,18918,2024-12-05,2
H0000,2784,2024-12-06,1
H0000,404,2024-12-08,25
H0000,1658,2024-12-10,5
H0000,7166,2024-12-10,10
H0000,7179,2024-12-10,10
H0000,7212,2024-12-10,7
H0000,7216,2024-12-10,7
H0000,16797,2024-12-10,11
H0000,1577,2024-12-11,27
H0000,15164,2024-12-11,5
H0000,1588,2024-12-12,25
H0000,15132,2024-12-12,7
H0000,1224,2024-12-13,13
H0000,1692,2024-12-16,5
H0000,7571,2024-12-16,-1
H0000,1688,2024-12-17,7
H0000,7165,2024-12-17,10
H0000,15157,2024-12-17,5
H0000,1267,2024-12-17,15
H0000,1482,2024-12-17,15
H0000,1548,2024-12-17,15
H0000,1574,2024-12-17,15
H0000,5870,2024-12-18,27
H0000,15123,2024-12-19,7
H0000,2130,2024-12-19,15
H0000,7638,2024-12-19,-1
H0000,5322,2024-12-20,2
H0000,5323,2024-12-20,2
H0000,5591,2024-12-20,2
H0000,1689,2024-12-22,5
H0000,1924,2024-12-22,13
H0000,11609,2024-12-23,15
H0000,18323,2024-12-23,7
H0000,23173,2024-12-23,7
H0000,5328,2024-12-23,2
H0000,1591,2024-12-27,15
H0000,1686,2024-12-27,27
H0000,15128,2024-12-27,7
H0000,1566,2024-12-27,25
H0000,16792,2024-12-30,7
H0000,1218,2024-12-30,-1
H0000,17279,2024-12-31,7
H0000,7205,2025-01-02,7
H0000,1481,2025-01-02,14
H0000,18021,2025-01-03,-1
