doc_i,doc_j,dias,s_ref,s_emb,w
592,3223,177,0.2656,0.9091,0.4587
592,3225,112,0.4138,0.9114,0.5631
592,3227,185,0.4138,0.9006,0.5599
592,3229,310,0.4138,0.8484,0.5442
592,3230,179,0.4138,0.9189,0.5654
592,3232,194,0.4138,0.9404,0.5718
592,3233,190,0.4138,0.907,0.5618
592,3234,67,0.4138,0.92,0.5657
592,3236,112,0.4138,0.8722,0.5513
592,3241,278,0.4138,0.8732,0.5516
592,3242,72,0.4138,0.8815,0.5541
592,3244,152,0.4138,0.9276,0.568
592,3245,194,0.4138,0.9117,0.5632
592,3246,156,0.4138,0.9193,0.5655
592,3247,143,0.4138,0.8873,0.5559
592,3248,192,0.4138,0.9177,0.565
592,3250,195,0.4138,0.9104,0.5628
592,3253,153,0.4138,0.9231,0.5666
592,3255,194,0.4138,0.9258,0.5674
592,3257,190,0.4138,0.9195,0.5655
592,3259,142,0.4138,0.8782,0.5531
592,3260,140,0.4138,0.9423,0.5724
592,3266,195,0.4138,0.9281,0.5681
592,3268,278,0.4138,0.8911,0.557
592,3271,192,0.4138,0.8257,0.5374
592,3272,177,0.4138,0.8731,0.5516
592,3273,69,0.4138,0.8668,0.5497
592,3274,193,0.4138,0.7843,0.525
592,3275,195,0.4138,0.9372,0.5708
592,3277,182,0.4138,0.9314,0.5691
592,3278,153,0.4138,0.9121,0.5633
592,3279,194,0.4138,0.921,0.566
592,3281,192,0.4138,0.896,0.5585
592,3282,141,0.4138,0.9034,0.5607
592,3283,68,0.4138,0.8804,0.5538
592,3284,154,0.4138,0.9311,0.569
592,6723,166,0.4138,0.8764,0.5526
592,6724,153,0.4138,0.7832,0.5246
592,6725,17,0.2656,0.886,0.4517
592,6727,192,0.4138,0.8874,0.5559
592,6735,270,0.4138,0.8985,0.5592
592,6736,195,0.4138,0.8918,0.5572
592,6737,195,0.4138,0.9172,0.5648
592,6739,189,0.4138,0.8969,0.5587
592,6740,195,0.2656,0.936,0.4667
592,6742,195,0.4138,0.8316,0.5392
592,6743,191,0.4138,0.9483,0.5742
592,6746,153,0.4138,0.8841,0.5549
592,7224,192,0.4138,0.891,0.557
592,7229,200,0.4138,0.8747,0.5521
592,7232,147,0.4138,0.9223,0.5664
592,7233,29,0.4138,0.9078,0.562
592,7234,142,0.4138,0.8888,0.5563
592,7235,153,0.2656,0.8846,0.4513
592,7237,112,0.4138,0.9112,0.563
597,616,343,0.4138,0.8784,0.5532
597,2906,10,0.4138,0.6207,0.4759
597,19502,347,0.4135,0.8406,0.5417
597,22266,303,0.4138,0.8679,0.5501
597,22309,345,0.4138,0.8981,0.5591
597,22311,345,0.4138,0.888,0.5561
597,22315,347,0.4135,0.864,0.5487
597,22318,345,0.2656,0.8922,0.4536
597,22319,343,0.5617,0.8948,0.6617
597,22321,346,0.4135,0.8939,0.5576
597,22344,345,0.4138,0.8462,0.5435
597,22353,339,0.2656,0.928,0.4643
597,22359,339,0.4138,0.8784,0.5532
597,22360,346,0.4138,0.89,0.5567
597,2932,1,0.4138,0.8266,0.5376
597,2957,337,0.4138,0.8116,0.5331
597,2976,2,0.2656,0.8973,0.4551
597,3197,345,0.4138,0.8671,0.5498
597,3207,348,0.4138,0.8444,0.543
597,3211,344,0.4138,0.8713,0.5511
597,3212,344,0.4138,0.7291,0.5084
597,3218,121,0.4138,0.7857,0.5254
597,3219,340,0.4138,0.8256,0.5374
597,3225,41,0.4138,0.8328,0.5395
597,3227,338,0.4138,0.8477,0.544
597,3229,157,0.4138,0.8517,0.5452
597,3230,332,0.4138,0.8712,0.551
597,3232,347,0.4138,0.8846,0.5551
597,3233,343,0.4138,0.8511,0.545
597,3234,86,0.4138,0.8458,0.5434
597,3236,41,0.4138,0.8076,0.532
597,3241,125,0.4138,0.8276,0.5379
597,3242,225,0.4138,0.7886,0.5262
597,3244,1,0.4138,0.8793,0.5535
597,3245,347,0.4138,0.8555,0.5463
597,3246,3,0.4138,0.8712,0.551
597,3247,10,0.4138,0.8846,0.555
597,3248,345,0.4138,0.8435,0.5427
597,3250,348,0.4138,0.8861,0.5555
597,3255,347,0.4138,0.9099,0.5626
597,3257,343,0.4138,0.8929,0.5575
597,3259,295,0.4138,0.8428,0.5425
597,3260,13,0.4138,0.8844,0.555
597,3266,348,0.4138,0.8984,0.5592
597,3268,125,0.4138,0.886,0.5555
597,3271,345,0.4138,0.8463,0.5436
597,3272,330,0.4138,0.8347,0.5401
597,3273,84,0.4138,0.7713,0.5211
597,3274,346,0.4138,0.8334,0.5397
597,3275,348,0.4138,0.9024,0.5604
