doc_i,doc_j,w,s_ref,s_emb,dias,largo,grado_i,grado_j,triangulos,embeddedness,edge_betweenness,puente,articulacion_adyacente,ref_objeto,ref_territorio,ref_actor,idf_max_ref_compartido
41,2211,0.4571,0.3356,0.7408,6,False,15,15,12,0.75,9.7e-05,False,False,estrategia nacional del litio,,,0.6712
73,105,0.4721,0.3123,0.8447,25,False,29,1,0,0.0,0.011765,True,True,,salar de atacama,comision investigadora de la camara de diputados,1.0
73,18021,0.4743,0.3356,0.7981,203,False,29,16,14,0.4828,0.005568,False,True,estrategia nacional del litio,,,0.6712
73,1064,0.4983,0.3356,0.8779,53,False,29,28,23,0.7188,0.004879,False,True,estrategia nacional del litio,,,0.6712
73,1065,0.4663,0.3356,0.7714,118,False,29,21,20,0.7143,0.004208,False,True,estrategia nacional del litio,,,0.6712
73,1152,0.4769,0.3356,0.8068,124,False,29,25,22,0.7333,0.003595,False,True,estrategia nacional del litio,,,0.6712
73,1153,0.4755,0.3356,0.8019,189,False,29,15,14,0.5,0.003056,False,True,estrategia nacional del litio,,,0.6712
73,1157,0.4811,0.3356,0.8207,69,False,29,26,23,0.7667,0.007813,False,True,estrategia nacional del litio,,,0.6712
73,1159,0.5749,0.4479,0.871,26,False,29,25,23,0.7931,0.001952,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1173,0.5906,0.4479,0.9234,122,False,29,25,23,0.7931,0.004256,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1218,0.4775,0.3356,0.8086,207,False,29,19,17,0.5862,0.005552,False,True,estrategia nacional del litio,,,0.6712
73,1229,0.4746,0.3356,0.799,193,False,29,22,20,0.6897,0.001975,False,True,estrategia nacional del litio,,,0.6712
73,1233,0.4837,0.3356,0.8292,145,False,29,25,22,0.7333,0.005229,False,True,estrategia nacional del litio,,,0.6712
73,1237,0.5027,0.3356,0.8925,50,False,29,29,23,0.697,0.005204,False,True,estrategia nacional del litio,,,0.6712
73,1653,0.5712,0.4479,0.8589,147,False,29,23,22,0.7857,0.001635,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1852,0.6683,0.619,0.7833,187,False,29,24,19,0.5938,0.00138,False,True,estrategia nacional del litio,salar de atacama,acuerdo codelco-sqm,0.8555
73,1859,0.4596,0.2834,0.8705,112,False,29,22,4,0.0889,0.010445,False,True,,salar de atacama,acuerdo codelco-sqm,0.8555
73,1868,0.5612,0.4479,0.8254,151,False,29,27,21,0.6364,0.002843,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1870,0.572,0.4479,0.8616,153,False,29,23,21,0.7241,0.0022,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1887,0.4536,0.2834,0.8507,147,False,29,17,3,0.0732,0.010147,False,True,,salar de atacama,acuerdo codelco-sqm,0.8555
73,1889,0.4532,0.2834,0.8492,147,False,29,17,3,0.0732,0.010147,False,True,,salar de atacama,acuerdo codelco-sqm,0.8555
73,1893,0.4536,0.2834,0.8506,8,False,29,15,4,0.1053,0.067987,False,True,,salar de atacama,acuerdo codelco-sqm,0.8555
73,1909,0.5486,0.4479,0.7835,189,False,29,23,14,0.3889,0.005551,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1910,0.5484,0.4479,0.7827,189,False,29,23,14,0.3889,0.005551,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1911,0.5435,0.4479,0.7664,189,False,29,23,14,0.3889,0.005551,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1912,0.4571,0.3356,0.7406,189,False,29,15,14,0.5,0.003056,False,True,estrategia nacional del litio,,,0.6712
73,1913,0.5478,0.4479,0.7809,189,False,29,23,14,0.3889,0.005551,False,True,estrategia nacional del litio,salar de atacama,,0.6712
73,1915,0.4718,0.3356,0.7895,189,False,29,16,14,0.4828,0.003415,False,True,estrategia nacional del litio,,,0.6712
73,2163,0.4923,0.3356,0.8581,9,False,29,24,22,0.7586,0.003358,False,True,estrategia nacional del litio,,,0.6712
84,1671,0.6472,0.6123,0.7287,19,False,2,2,1,1.0,7e-05,False,False,explotacion de litio en salar de atacama,salar de atacama,,1.0
84,1945,0.6399,0.6123,0.7042,619,True,2,4,1,0.3333,0.011695,False,True,explotacion de litio en salar de atacama,salar de atacama,,1.0
150,9084,0.459,0.2791,0.8787,92,False,7,7,3,0.3333,0.020865,False,False,,salar de atacama,codelco y sqm,0.8339
150,1725,0.6842,0.6123,0.8518,159,False,7,4,3,0.5,0.002856,False,False,proyecto salar futuro,salar de atacama,,1.0
150,1921,0.4969,0.3123,0.9277,149,False,7,4,3,0.5,0.001706,False,False,,salar de atacama,codelco y sqm;consejo de pueblos atacamenos,0.8339
150,1925,0.5114,0.3123,0.9758,3,False,7,4,3,0.5,0.001706,False,False,,salar de atacama,codelco y sqm;consejo de pueblos atacamenos,0.8339
150,1934,0.799,0.7339,0.951,158,False,7,6,1,0.1,0.009698,False,False,proyecto salar futuro,salar de atacama,consejo de pueblos atacamenos,1.0
150,1949,0.6948,0.6123,0.8873,158,False,7,2,1,0.1667,0.010131,False,False,proyecto salar futuro,salar de atacama,,1.0
150,1970,0.8351,0.8123,0.8883,158,False,7,5,4,0.6667,0.001037,False,False,proyecto salar futuro,salar de atacama,codelco y sqm;consejo de pueblos atacamenos,1.0
188,1773,0.4503,0.2553,0.9053,17,False,1,7,0,0.0,0.011765,True,True,,salar de atacama,albemarle,0.7147
271,1275,0.4584,0.2791,0.8766,127,False,2,9,0,0.0,0.02339,True,True,,salar de maricunga,codelco,0.5734
271,2041,0.7249,0.672,0.8483,952,True,2,1,0,0.0,0.011765,True,True,proyecto salar de maricunga,salar de maricunga,,1.0
301,306,0.7264,0.672,0.8532,811,True,8,2,1,0.1429,0.011695,False,True,explotacion de litio en salar de maricunga,salar de maricunga,,1.0
